NCM;Exp_jan;Imp_jan;Net_jan;Exp_fev;Imp_fev;Net_fev;Exp_mar;Imp_mar;Net_mar;Exp_abr;Imp_abr;Net_abr;Exp_mai;Imp_mai;Net_mai;Exp_jun;Imp_jun;Net_jun;Exp_jul;Imp_jul;Net_jul;Exp_ago;Imp_ago;Net_ago;Exp_set;Imp_set;Net_set;Exp_out;Imp_out;Net_out;Exp_nov;Imp_nov;Net_nov;Exp_dez;Imp_dez;Net_dez;Exp_total;Imp_total;Net_total
39235000;0;0;0;0;0;0;0;344;-344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119136;-119136;0;0;0;0;119480;-119480
90328982;0;0;0;0;14349;-14349;0;0;0;0;975;-975;0;5534;-5534;0;0;0;0;3172;-3172;0;0;0;0;0;0;0;0;0;0;4960;-4960;0;0;0;0;28990;-28990
29319049;0;0;0;0;0;0;0;0;0;0;45482;-45482;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44653;-44653;0;0;0;0;90135;-90135
84519090;0;0;0;0;483;-483;0;2383;-2383;0;0;0;0;0;0;0;3153;-3153;0;0;0;0;196;-196;0;0;0;0;0;0;0;210;-210;0;0;0;0;6425;-6425
85444200;0;232023;-232023;0;116292;-116292;0;76439;-76439;0;135691;-135691;0;215577;-215577;0;10384;-10384;0;59437;-59437;0;38451;-38451;0;337082;-337082;0;130248;-130248;0;82634;-82634;0;129088;-129088;0;1563346;-1563346
59090000;0;999;-999;0;2424;-2424;0;1483;-1483;0;982;-982;0;1489;-1489;0;524;-524;0;0;0;0;0;0;0;1626;-1626;0;581;-581;0;700;-700;0;15347;-15347;0;26155;-26155
85389090;0;467560;-467560;130;371963;-371833;36;644081;-644045;0;345989;-345989;0;626067;-626067;212;115758;-115546;20;101457;-101437;0;90049;-90049;14;307046;-307032;0;108195;-108195;0;168083;-168083;0;359533;-359533;412;3705781;-3705369
84212100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;653;-653;0;0;0;0;0;0;0;5394;-5394;0;0;0;0;549;-549;0;0;0;0;6596;-6596
55032090;0;190984;-190984;0;196242;-196242;0;183002;-183002;0;181732;-181732;0;226093;-226093;0;149150;-149150;0;56906;-56906;0;126121;-126121;7150;585223;-578073;0;406780;-406780;0;316860;-316860;0;450471;-450471;7150;3069564;-3062414
84483917;0;77850;-77850;0;0;0;0;2290;-2290;0;0;0;0;0;0;0;199573;-199573;0;0;0;0;0;0;0;1840;-1840;0;11515;-11515;0;21111;-21111;0;1220;-1220;0;315399;-315399
84829990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;254;-254;0;5293;-5293;0;36;-36;0;5583;-5583
74122000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1015;-1015;0;73;-73;0;0;0;0;1088;-1088
73182200;0;0;0;0;13;-13;0;85;-85;0;0;0;0;94;-94;0;39;-39;0;12;-12;0;7;-7;0;3;-3;0;151;-151;0;2381;-2381;0;0;0;0;2785;-2785
85044030;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;244;-244;0;244;-244;0;0;0;0;0;0;0;488;-488
85444900;0;249538;-249538;0;96475;-96475;0;175764;-175764;0;60197;-60197;0;145082;-145082;0;10349;-10349;0;0;0;0;9872;-9872;0;48548;-48548;0;51834;-51834;0;87925;-87925;0;196780;-196780;0;1132364;-1132364
84834090;0;6139;-6139;0;2964;-2964;0;19;-19;0;13224;-13224;0;0;0;0;1856;-1856;0;9529;-9529;0;4480;-4480;0;1493;-1493;0;20602;-20602;0;16337;-16337;0;0;0;0;76643;-76643
84805000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28368;-28368;0;0;0;0;5147;-5147;0;192674;-192674;0;31796;-31796;0;0;0;0;12663;-12663;0;270648;-270648
54075400;0;0;0;0;97205;-97205;0;0;0;0;0;0;0;85651;-85651;0;187830;-187830;0;0;0;0;81927;-81927;1163;0;1163;0;384042;-384042;0;116064;-116064;0;172090;-172090;1163;1124809;-1123646
84714190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3502;-3502;0;0;0;0;1845;-1845;0;5347;-5347
85365090;0;2045;-2045;0;1095;-1095;0;13084;-13084;0;0;0;0;2348;-2348;0;510;-510;0;203;-203;0;3528;-3528;0;5558;-5558;0;3101;-3101;0;5764;-5764;0;1528;-1528;0;38764;-38764
84733099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3922;-3922;0;0;0;0;0;0;0;3922;-3922
94054090;0;0;0;0;0;0;0;1012;-1012;0;0;0;0;0;0;0;0;0;0;79159;-79159;0;44100;-44100;0;0;0;0;14746;-14746;0;67671;-67671;0;0;0;0;206688;-206688
